city_name,state_abbr,year,city_key,median_household_income,median_gross_rent,median_home_value,unemployed_population,total_population,commute_total,commute_public_transit,avg_high_temp_c,avg_low_temp_c,annual_precip_mm,snow_days,avg_sunshine_hrs_per_day,city_state,days_with_aqi,good_days,moderate_days,unhealthy_sens_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm25,days_pm10,arrests_per_person,arrests_per_100k
New Orleans,LA,2022,new_orleans_la,51116,1162,281500,16040,380408,171424,9065,24.7,17.3,1653.3,0,9.5,"New Orleans, LA",365.0,158.0,204.0,3.0,0.0,0.0,0.0,108.0,52.0,0.0,0.0,86.0,279.0,0.0,0.0266076158863351,2660.761588633519
Baltimore,MD,2022,baltimore_md,58349,1235,202900,20484,584548,270605,34640,18.2,8.7,1761.4,17,8.8,"Baltimore, MD",365.0,200.0,163.0,2.0,0.0,0.0,0.0,122.0,49.0,0.0,1.0,181.0,183.0,0.0,0.0157896852059753,1578.9685205975377
Detroit,MI,2022,detroit_mi,37761,989,66700,39893,636787,224797,14175,14.7,5.7,737.0,60,8.5,"Detroit, MI",365.0,63.0,286.0,16.0,0.0,0.0,0.0,133.0,58.0,0.0,2.0,36.0,316.0,11.0,0.0171790607863886,1717.9060786388686
New York City,NY,2022,new_york_city_ny,44156,995,111400,8855,210992,93269,5616,17.2,8.2,1385.4,26,8.8,"New York City, NY",365.0,134.0,220.0,10.0,1.0,0.0,0.0,161.0,54.0,1.0,19.0,108.0,237.0,0.0,0.0157109451572204,1571.0945157220422
Philadelphia,PA,2022,philadelphia_pa,57537,1250,215500,69721,1593208,717569,142078,18.4,8.4,1346.8,18,8.7,"Philadelphia, PA",365.0,97.0,262.0,6.0,0.0,0.0,0.0,126.0,56.0,0.0,3.0,98.0,264.0,0.0,0.0211326516644105,2113.2651664410555
Nashville,TN,2022,nashville_tn,71328,1392,351400,18423,684103,377380,6028,21.3,10.3,1926.5,15,9.1,"Nashville, TN",365.0,164.0,197.0,4.0,0.0,0.0,0.0,147.0,52.0,0.0,2.0,96.0,267.0,0.0,0.0363859079059843,3638.590790598437
Houston,TX,2022,houston_tx,58734,1093,181600,6200,258190,127119,954,26.2,16.4,1632.7,0,9.2,"Houston, TX",365.0,50.0,276.0,33.0,6.0,0.0,0.0,179.0,61.0,0.0,2.0,117.0,214.0,32.0,0.0187667524638535,1876.6752463853584
San Antonio,TX,2022,san_antonio_tx,59593,1189,198000,43346,1445662,690443,14711,27.7,16.2,718.7,2,9.3,"San Antonio, TX",365.0,111.0,241.0,12.0,0.0,1.0,0.0,214.0,55.0,0.0,0.0,103.0,261.0,1.0,0.0187667524638535,1876.6752463853584
Dallas,TX,2022,dallas_tx,63985,1305,270700,34605,1300642,653525,17857,25.6,14.5,1307.8,6,9.5,"Dallas, TX",365.0,99.0,214.0,49.0,3.0,0.0,0.0,187.0,58.0,0.0,5.0,170.0,189.0,1.0,0.0187667524638535,1876.6752463853584
Seattle,WA,2022,seattle_wa,116068,1945,879900,19929,734603,444319,69441,14.9,7.6,1131.2,31,7.7,"Seattle, WA",365.0,178.0,154.0,22.0,7.0,3.0,1.0,362.0,51.0,0.0,2.0,129.0,234.0,0.0,0.0171193076857095,1711.9307685709562
Kansas City,MO,2022,kansas_city_mo,65256,1131,208900,13311,505958,261493,5778,18.7,7.9,1216.3,27,9.2,"Kansas City, MO",365.0,132.0,226.0,7.0,0.0,0.0,0.0,115.0,54.0,0.0,3.0,117.0,230.0,15.0,0.0245611364718598,2456.113647185981
Oklahoma City,OK,2022,oklahoma_city_ok,64251,1012,196700,15718,681088,336569,1473,23.0,11.6,936.7,14,9.9,"Oklahoma City, OK",365.0,131.0,225.0,9.0,0.0,0.0,0.0,129.0,54.0,0.0,7.0,139.0,214.0,5.0,0.0197986711829532,1979.867118295322
Las Vegas,NV,2022,las_vegas_nv,66356,1356,365300,23725,644835,290898,8195,27.6,15.0,103.9,0,11.1,"Las Vegas, NV",365.0,71.0,268.0,20.0,3.0,1.0,2.0,480.0,64.0,0.0,3.0,194.0,138.0,30.0,0.0335456292971592,3354.562929715922
